experiment,method,domain,test_samples,mean_prediction_mean,mean_prediction_std,mean_uncertainty_mean,mean_uncertainty_std,uncertainty_range,conformal_width_mean,conformal_width_std,conformal_width_range
E2_mc_id,MC Dropout,ID,2,-0.07204368,0.22501948,0.20589118,0.06717054,0.56275153,0.33220937848091125,0.10838095843791962,0.9080104231834412
E4_mc_ab,MC Dropout,A->B,2,-0.07290894,0.5134851,0.3195284,0.11973241,0.8281698,,,
E5_ens_id,Ensemble,ID,2,-0.1854119,0.3122629,0.24180032,0.11366427,0.86412376,0.3577713072299957,0.16817934811115265,1.278570294380188
E6_ens_ab,Ensemble,A->B,2,-0.1854119,0.3122629,0.24180032,0.11366427,0.86412376,,,
