experiment,method,domain,test_rmse,test_mae,test_n_samples,val_rmse,val_mae,val_n_samples,best_epoch,best_val_loss,total_epochs,early_stopped,mc_test_rmse,mc_test_nll,mc_test_avg_sigma,mc_test_cov80,mc_test_cov90,mc_test_cov95,mc_conformal_coverage,mc_conformal_width,mc_val_rmse,mc_val_nll,mc_val_avg_sigma,mc_val_cov80,mc_val_cov90,mc_val_cov95,ens_test_rmse,ens_test_mae,ens_test_n_samples,ens_conformal_coverage,ens_conformal_width,ens_val_rmse,ens_val_mae,ens_val_n_samples,n_ensemble_members,ensemble_seeds
E1_hit_baseline,Baseline,ID (In-Domain),0.7199112177788068,0.6112482249736786,65536.0,1.1112881135358241,0.7958598732948303,32768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2_hit_bayes,MC Dropout,ID (In-Domain),,,,,,,,,,,0.7249301075935364,7.029911994934082,0.2058911770582199,0.1848602294921875,0.247833251953125,0.3066253662109375,0.1107177734375,0.33220937848091125,1.1258364915847778,21.510601043701172,0.1769084483385086,0.21044921875,0.264892578125,0.312591552734375,,,,,,,,,,
E3_hit_ab_baseline,Baseline,A->B (Domain Shift),0.7133269868791953,0.566613182425499,65536.0,0.7614030624000402,0.56967793405056,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4_hit_ab_dropout,MC Dropout,A->B (Domain Shift),,,,,,,,,,,0.6929305791854858,3.6730809211730957,0.31952840089797974,0.470458984375,0.568145751953125,0.6320953369140625,,,,,,,,,,,,,,,,,,
E5_hit_ens,Ensemble,ID (In-Domain),,,,,,,,,,,,,,,,,,,,,,,,,0.810623288154602,0.6946448087692261,2.0,0.084197998046875,0.3577713072299957,1.0508962869644165,0.7398074269294739,1.0,5.0,"[111, 222, 333, 444, 555]"
E6_hit_ab_ens,Ensemble,A->B (Domain Shift),,,,,,,,,,,,,,,,,,,,,,,,,0.810623288154602,0.6946448087692261,2.0,,,,,,5.0,"[111, 222, 333, 444, 555]"
